127.0.0.1 - - [04/Mar/2019:12:16:04 +0900] "GET / HTTP/1.1" 404 1019
0:0:0:0:0:0:0:1 - - [04/Mar/2019:12:16:07 +0900] "GET /HelloServlet/ HTTP/1.1" 200 821
0:0:0:0:0:0:0:1 - - [04/Mar/2019:12:16:11 +0900] "GET /HelloServlet/MySQLServlet HTTP/1.1" 200 141
0:0:0:0:0:0:0:1 - - [04/Mar/2019:12:16:31 +0900] "GET /HelloServlet/inquiry.jsp HTTP/1.1" 200 602
0:0:0:0:0:0:0:1 - - [04/Mar/2019:12:16:34 +0900] "GET /HelloServlet/MySQLServlet HTTP/1.1" 200 141
0:0:0:0:0:0:0:1 - - [04/Mar/2019:12:17:31 +0900] "GET /HelloServlet/MySQLServlet HTTP/1.1" 200 141
0:0:0:0:0:0:0:1 - - [04/Mar/2019:12:17:32 +0900] "GET /HelloServlet/MySQLServlet HTTP/1.1" 200 141
0:0:0:0:0:0:0:1 - - [04/Mar/2019:12:17:36 +0900] "GET /HelloServlet/ HTTP/1.1" 200 821
0:0:0:0:0:0:0:1 - - [04/Mar/2019:12:17:37 +0900] "GET /HelloServlet/welcome.jsp HTTP/1.1" 200 341
0:0:0:0:0:0:0:1 - - [04/Mar/2019:12:17:39 +0900] "GET /HelloServlet/welcome.jsp HTTP/1.1" 200 341
0:0:0:0:0:0:0:1 - - [04/Mar/2019:12:17:41 +0900] "GET /HelloServlet/MySQLServlet HTTP/1.1" 200 141
0:0:0:0:0:0:0:1 - - [04/Mar/2019:12:19:29 +0900] "GET /HelloServlet/MySQLServlet HTTP/1.1" 200 141
0:0:0:0:0:0:0:1 - - [04/Mar/2019:12:19:59 +0900] "GET /HelloServlet/MySQLServlet HTTP/1.1" 200 141
0:0:0:0:0:0:0:1 - - [04/Mar/2019:12:20:01 +0900] "GET /HelloServlet/welcome.jsp HTTP/1.1" 200 341
0:0:0:0:0:0:0:1 - - [04/Mar/2019:12:20:07 +0900] "POST /HelloServlet/WelcomeServlet HTTP/1.1" 200 69
0:0:0:0:0:0:0:1 - - [04/Mar/2019:12:20:22 +0900] "GET /HelloServlet/welcome.jsp HTTP/1.1" 200 341
0:0:0:0:0:0:0:1 - - [04/Mar/2019:12:20:28 +0900] "GET /HelloServlet/TestServlet?username=ffffff&password= HTTP/1.1" 200 55
0:0:0:0:0:0:0:1 - - [04/Mar/2019:12:20:35 +0900] "GET /HelloServlet/TestServlet?username=ffffff&password=ffff HTTP/1.1" 200 59
0:0:0:0:0:0:0:1 - - [04/Mar/2019:12:20:37 +0900] "GET /HelloServlet/MySQLServlet HTTP/1.1" 200 141
0:0:0:0:0:0:0:1 - - [04/Mar/2019:12:21:00 +0900] "GET /HelloServlet/MySQLServlet HTTP/1.1" 200 141
0:0:0:0:0:0:0:1 - - [04/Mar/2019:12:22:43 +0900] "GET /HelloServlet/ HTTP/1.1" 200 821
0:0:0:0:0:0:0:1 - - [04/Mar/2019:12:22:44 +0900] "GET /HelloServlet/ HTTP/1.1" 200 821
0:0:0:0:0:0:0:1 - - [04/Mar/2019:12:22:51 +0900] "GET /HelloServlet/MySQLServlet HTTP/1.1" 200 141
0:0:0:0:0:0:0:1 - - [04/Mar/2019:12:22:55 +0900] "GET /HelloServlet/TestServlet?username=taro&password= HTTP/1.1" 200 53
0:0:0:0:0:0:0:1 - - [04/Mar/2019:12:23:25 +0900] "GET /HelloServlet/ HTTP/1.1" 200 821
